,Tên,Trường,Tỉnh thành,Khởi động,VCNV,Tăng tốc,Về đích,Tổng điểm,Tuần,Tháng,Quý
0,Võ Phương Nam,THPT Chuyên Bảo Lộc,Lâm Đồng,80,30,120,25,255,1,1,1
1,Nguyễn Hoàng Khánh,THPT Bạch Đằng,Quảng Ninh,110,20,100,90,320,1,1,1
2,Đoàn Đặng Phương Nam,Phổ thông Năng khiếu,TP. Hồ Chí Minh,60,20,20,-60,40,1,1,1
3,Nguyễn Quang Huy,THPT Ngô Quyền - Ba Vì,Hà Nội,100,10,110,100,320,1,1,1
4,Lê Nguyên Hạo,THPT An Ninh,Long An,70,20,50,20,160,2,1,1
5,Khuất Thanh Sơn,PT Liên cấp Edison,Hưng Yên,50,10,80,70,210,2,1,1
6,Nguyễn Minh Đức,THPT Nguyễn Huệ,Ninh Bình,70,30,100,40,240,2,1,1
7,Trần Công Phúc,THPT Chuyên Trần Hưng Đạo,Bình Thuận,60,20,110,30,220,2,1,1
8,Nguyễn Anh Khôi,THPT Chuyên Nguyễn Chí Thanh,Đắk Nông,120,90,80,20,310,3,1,1
9,Trần Thảo Linh,THPT Huỳnh Thúc Kháng,Hà Nội,70,10,0,10,90,3,1,1
10,Nguyễn Anh Sáng,THPT Lê Lợi,Nghệ An,40,0,0,-35,5,3,1,1
11,Nguyễn Phú Thiên Hương,THPT Nhơn Trạch,Đồng Nai,50,0,0,30,80,3,1,1
12,Nguyễn Minh Đức,THPT Nguyễn Huệ,Ninh Bình,20,30,40,-30,60,X,1,1
13,Nguyễn Anh Khôi,THPT Chuyên Nguyễn Chí Thanh,Đắk Nông,60,20,90,55,225,X,1,1
14,Nguyễn Hoàng Khánh,THPT Bạch Đằng,Quảng Ninh,70,30,60,110,270,X,1,1
15,Nguyễn Quang Huy,THPT Ngô Quyền - Ba Vì,Hà Nội,80,20,110,70,280,X,1,1
16,Phí Thanh Thuý,THPT Sông Công,Thái Nguyên,40,0,70,-30,80,1,2,1
17,Đặng Lê Trà My,THPT Hương Khê,Hà Tĩnh,50,10,50,-40,70,1,2,1
18,Vũ Công Thành,THPT Chu Văn An,Hà Nội,120,70,150,60,400,1,2,1
19,Nguyễn Trí Hoàng Phú,THPT Hướng Hoá,Quảng Trị,80,10,70,60,220,1,2,1
20,Phạm Đình Tân,THPT Chuyên Nguyễn Tất Thành,Kon Tum,60,10,50,20,140,2,2,1
21,Ngô Đức Trung,THPT Nguyễn Hữu Huân,TP. Hồ Chí Minh,50,90,60,70,270,2,2,1
22,Đặng Tuấn Linh,THPT Trần Quang Khải,Hưng Yên,110,10,80,50,250,2,2,1
23,Nguyễn Tiến Phương,THPT Hoài Đức B,Hà Nội,30,10,70,-10,100,2,2,1
24,Ngô Nguyễn Thị Đan Quỳnh,THPT Lý Tự Trọng,Bình Định,50,0,50,-30,70,3,2,1
25,Trần Đức Trung,THPT Kim Sơn A,Ninh Bình,100,0,160,70,330,3,2,1
26,Bùi Tiến Thuật,THPT Chuyên Trần Phú,Hải Phòng,80,10,100,30,220,3,2,1
27,Tạ Lê Thanh Lam,THPT Chuyên Nguyễn Thị Minh Khai,Sóc Trăng,70,70,50,-50,140,3,2,1
28,Trần Đức Trung,THPT Kim Sơn A,Ninh Bình,100,20,100,25,245,X,2,1
29,Ngô Đức Trung,THPT Nguyễn Hữu Huân,TP. Hồ Chí Minh,50,20,50,10,130,X,2,1
30,Đặng Tuấn Linh,THPT Trần Quang Khải,Hưng Yên,70,20,120,45,255,X,2,1
31,Vũ Công Thành,THPT Chu Văn An,Hà Nội,100,70,100,-20,250,X,2,1
32,Nguyễn Lê Lâm Phúc,THPT Chuyên Thăng Long,Lâm Đồng,80,90,60,50,280,1,3,1
33,Nguyễn Khánh Huyền,THPT Châu Văn Liêm,Cần Thơ,70,10,70,-55,95,1,3,1
34,Đỗ Hồng Quân,THPT Chuyên Hoàng Văn Thụ,Hoà Bình,90,0,110,70,270,1,3,1
35,Nguyễn Thị Vân Khánh,THPT Lạng Giang 1,Bắc Giang,60,0,20,-10,70,1,3,1
36,Lâm Huy Vũ,THPT Lý Tự Trọng,Nam Định,90,0,100,20,210,2,3,1
37,Nguyễn Sơn Tùng,THPT Yên Viên,Hà Nội,70,80,160,0,310,2,3,1
38,Nguyễn Gia Linh,THPT Chuyên Hùng Vương,Bình Dương,90,10,60,-5,155,2,3,1
39,Nguyễn Mạnh Quỳnh,THPT Vạn Tường,Quảng Ngãi,80,0,60,30,170,2,3,1
40,Nguyễn Ngọc Ánh,THPT Tiên Yên,Quảng Ninh,50,10,90,-50,100,3,3,1
41,Trần Thúy Ngân,THPT Gia Định,TP. Hồ Chí Minh,90,10,40,10,150,3,3,1
42,Nguyễn Khánh Bình,THPT Chuyên Lê Quý Đôn,Khánh Hoà,50,70,100,30,250,3,3,1
43,Nguyễn Ngọc Đạt,THPT Đan Phượng,Hà Nội,80,10,70,-30,130,3,3,1
44,Nguyễn Khánh Bình,THPT Chuyên Lê Quý Đôn,Khánh Hoà,30,10,70,-60,50,X,3,1
45,Nguyễn Lê Lâm Phúc,THPT Chuyên Thăng Long,Lâm Đồng,40,10,80,70,200,X,3,1
46,Đỗ Hồng Quân,THPT Chuyên Hoàng Văn Thụ,Hoà Bình,50,10,120,20,200,X,3,1
47,Nguyễn Sơn Tùng,THPT Yên Viên,Hà Nội,50,70,90,10,220,X,3,1
48,Đặng Tuấn Linh,THPT Trần Quang Khải,Hưng Yên,50,10,0,40,100,X,X,1
49,Nguyễn Hoàng Khánh,THPT Bạch Đằng,Quảng Ninh,70,90,140,75,375,X,X,1
50,Nguyễn Quang Huy,THPT Ngô Quyền - Ba Vì,Hà Nội,60,10,60,-30,100,X,X,1
51,Nguyễn Sơn Tùng,THPT Yên Viên,Hà Nội,60,10,60,-40,90,X,X,1
52,Lê Thị Bình,THPT Tĩnh Gia 2,Thanh Hoá,70,0,60,-15,115,1,1,2
53,Lê Văn Hữu,THPT Thái Phiên,Quảng Nam,70,50,120,80,320,1,1,2
54,Trương Mỹ Tâm,THPT Chuyên Thái Bình,Thái Bình,40,10,70,40,160,1,1,2
55,Nguyễn Anh Hoàng,THPT Chuyên Lê Quý Đôn,Bà Rịa – Vũng Tàu,50,20,110,-30,150,1,1,2
56,Vũ Văn Trường,THPT Khoa học Giáo dục,Hà Nội,80,10,90,-20,160,2,1,2
57,Nguyễn Tấn Khải,Trường Quốc tế TP. Hồ Chí Minh - Học viện Mỹ,TP. Hồ Chí Minh,90,40,120,20,270,2,1,2
58,Nông Quốc Duy,THPT Chuyên Bắc Kạn,Bắc Kạn,40,20,70,70,200,2,1,2
59,Trần Văn Quang Khải,THPT Nguyễn Bỉnh Khiêm,Gia Lai,40,40,80,10,170,2,1,2
60,Phạm Tuấn Anh,THPT Kim Liên,Hà Nội,70,0,160,40,270,3,1,2
61,Nguyễn Thuỳ Trang,THPT Gia Lộc,Hải Dương,30,0,30,-20,40,3,1,2
62,Trần Văn Minh,THPT Chuyên Lê Quý Đôn,Quảng Trị,70,60,80,65,275,3,1,2
63,Đỗ Hồng Diệp,THPT Phương Sơn,Bắc Giang,70,0,50,-20,100,3,1,2
64,Nguyễn Tấn Khải,Trường Quốc tế TP. Hồ Chí Minh - Học viện Mỹ,TP. Hồ Chí Minh,70,70,110,70,320,X,1,2
65,Trần Văn Minh,THPT Chuyên Lê Quý Đôn,Quảng Trị,30,10,50,45,135,X,1,2
66,Lê Văn Hữu,THPT Thái Phiên,Quảng Nam,50,10,100,5,165,X,1,2
67,Phạm Tuấn Anh,THPT Kim Liên,Hà Nội,60,0,90,-30,120,X,1,2
68,Lương Trường Giang,THPT Chuyên Thái Nguyên,Thái Nguyên,130,10,80,70,290,1,2,2
69,Lê Trần Đăng Vũ,THPT Tương Dương 2,Nghệ An,80,0,50,-25,105,1,2,2
70,Nguyễn Trọng Vinh,THPT Tiên Lãng,Hải Phòng,80,70,60,40,250,1,2,2
71,Nguyễn Nghĩa,THPT Chợ Gạo,Tiền Giang,90,10,120,40,260,1,2,2
72,Phan Trần Tiến Hưng,THPT Kon Tum,Kon Tum,80,0,50,115,245,2,2,2
73,Trần Bảo Phú,THPT Chuyên Lê Quý Đôn,Ninh Thuận,90,10,60,60,220,2,2,2
74,Đỗ Hoàng Minh,THPT Quốc Oai,Hà Nội,60,10,150,30,250,2,2,2
75,Mạc Liên Cường,THPT Thanh Thủy,Phú Thọ,50,70,100,10,230,2,2,2
76,Nguyễn Đình Huy,THPT Chuyên Đại học Vinh,Nghệ An,50,90,130,60,330,3,2,2
77,Nguyễn Dương Phương Thảo,THPT Chuyên Lương Văn Tụy,Ninh Bình,60,0,50,80,190,3,2,2
78,Trương Nhật Trọng,THPT Lưu Văn Liệt,Vĩnh Long,50,0,30,40,120,3,2,2
79,Nguyễn Minh Ngọc,THPT Lê Văn Thịnh,Bắc Ninh,60,0,120,-40,140,3,2,2
80,Nguyễn Đình Huy,THPT Chuyên Đại học Vinh,Nghệ An,50,10,70,-10,120,X,2,2
81,Lương Trường Giang,THPT Chuyên Thái Nguyên,Thái Nguyên,40,10,40,-50,40,X,2,2
82,Đỗ Hoàng Minh,THPT Quốc Oai,Hà Nội,30,80,100,0,210,X,2,2
83,Nguyễn Nghĩa,THPT Chợ Gạo,Tiền Giang,50,10,70,90,220,X,2,2
84,Nguyễn Đỗ Duy Quân,THPT Chuyên Bến Tre,Bến Tre,90,0,90,40,220,1,3,2
85,Nguyễn Thị Bảo,THPT Phổ Yên,Thái Nguyên,60,0,130,-15,175,1,3,2
86,Vũ Huy Long,THPT Yên Lãng,Hà Nội,70,0,90,-10,150,1,3,2
87,Đặng Thị Thu Thảo,THPT Nghi Lộc 5,Nghệ An,40,90,40,20,190,1,3,2
88,Nguyễn Việt Thái,THPT Chuyên Ngoại Ngữ - Đại học Ngoại Ngữ - Đại học quốc gia Hà Nội,Hà Nội,90,90,80,20,280,2,3,2
89,Phạm Thị Minh Trang,THCS và THPT Đông Du,Đắk Lắk,60,0,40,-60,40,2,3,2
90,Tô Hoàng Nhật,THPT Số 1 Đức Phổ,Quảng Ngãi,80,10,160,40,290,2,3,2
91,Nguyễn Phương Linh,THPT Chuyên Vĩnh Phúc,Vĩnh Phúc,100,10,50,60,220,2,3,2
92,Nguyễn Thị Trà My,THPT Trưng Vương,Hưng Yên,60,10,50,100,220,3,3,2
93,Phạm Đức Minh,THPT Yên Mô B,Ninh Bình,80,10,40,-40,90,3,3,2
94,Trần Quang Huy,THPT Chuyên Chu Văn An,Lạng Sơn,70,90,120,20,300,3,3,2
95,Nguyễn Thuỳ Dương,THPT Sóc Sơn,Hà Nội,60,10,120,-5,185,3,3,2
96,Trần Quang Huy,THPT Chuyên Chu Văn An,Lạng Sơn,70,0,70,-40,100,X,3,2
97,Nguyễn Việt Thái,THPT Chuyên Ngoại Ngữ - Đại học Ngoại Ngữ - Đại học quốc gia Hà Nội,Hà Nội,60,10,160,25,255,X,3,2
98,Tô Hoàng Nhật,THPT Số 1 Đức Phổ,Quảng Ngãi,70,10,90,30,200,X,3,2
99,Nguyễn Đỗ Duy Quân,THPT Chuyên Bến Tre,Bến Tre,80,80,70,10,240,X,3,2
100,Nguyễn Việt Thái,THPT Chuyên Ngoại Ngữ - Đại học Ngoại Ngữ - Đại học quốc gia Hà Nội,Hà Nội,50,80,150,15,295,X,X,2
101,Nguyễn Đỗ Duy Quân,THPT Chuyên Bến Tre,Bến Tre,30,0,70,10,110,X,X,2
102,Nguyễn Tấn Khải,Trường Quốc tế TP. Hồ Chí Minh - Học viện Mỹ,TP. Hồ Chí Minh,30,0,50,-45,35,X,X,2
103,Nguyễn Nghĩa,THPT Chợ Gạo,Tiền Giang,30,0,120,-10,140,X,X,2
104,Nguyễn Đức Anh,THPT Yên Phong số 1,Bắc Ninh,80,70,110,15,275,1,1,3
